subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_date	author_id	subject_source	subject_source_version	object_source	object_source_version	confidence	comment
bcdm:inst	bcdm:inst	skos:exactMatch	dwc:institutionCode	dwc:institutionCode	semapv:ManualMappingCuration	2022-01-01	0000-1234-0000-1234	bcdm_bold_uri	1	https://dwc.tdwg.org/terms/	1	0.95	string default for bcdm coming from frictionless data
bcdm:taxid	bcdm:taxid	skos:exactMatch	dwc:	dwc:	semapv:ManualMappingCuration	2022-01-01	0000-1234-0000-1234	bcdm_bold_uri	1	https://dwc.tdwg.org/terms/	1	0.95	string default for bcdm coming from frictionless data
bcdm:kingdom	bcdm:kingdom	skos:exactMatch	dwc:kingdom	dwc:kingdom	semapv:ManualMappingCuration	2022-01-01	0000-1234-0000-1234	bcdm_bold_uri	1	https://dwc.tdwg.org/terms/	1	0.95	string default for bcdm coming from frictionless data
bcdm:phylum	bcdm:phylum	skos:exactMatch	dwc:phylum	dwc:phylum	semapv:ManualMappingCuration	2022-01-01	0000-1234-0000-1234	bcdm_bold_uri	1	https://dwc.tdwg.org/terms/	1	0.95	string default for bcdm coming from frictionless data
bcdm:class	bcdm:class	skos:exactMatch	dwc:class	dwc:class	semapv:ManualMappingCuration	2022-01-01	0000-1234-0000-1234	bcdm_bold_uri	1	https://dwc.tdwg.org/terms/	1	0.95	string default for bcdm coming from frictionless data
bcdm:order	bcdm:order	skos:exactMatch	dwc:order	dwc:order	semapv:ManualMappingCuration	2022-01-01	0000-1234-0000-1234	bcdm_bold_uri	1	https://dwc.tdwg.org/terms/	1	0.95	string default for bcdm coming from frictionless data
bcdm:family	bcdm:family	skos:exactMatch	dwc:family	dwc:family	semapv:ManualMappingCuration	2022-01-01	0000-1234-0000-1234	bcdm_bold_uri	1	https://dwc.tdwg.org/terms/	1	0.95	string default for bcdm coming from frictionless data
bcdm:subfamily	bcdm:subfamily	skos:exactMatch	dwc:subfamily	dwc:subfamily	semapv:ManualMappingCuration	2022-01-01	0000-1234-0000-1234	bcdm_bold_uri	1	https://dwc.tdwg.org/terms/	1	0.95	string default for bcdm coming from frictionless data
bcdm:tribe	bcdm:tribe	skos:exactMatch	dwc:tribe	dwc:tribe	semapv:ManualMappingCuration	2022-01-01	0000-1234-0000-1234	bcdm_bold_uri	1	https://dwc.tdwg.org/terms/	1	0.95	string default for bcdm coming from frictionless data
bcdm:genus	bcdm:genus	skos:exactMatch	dwc:genus	dwc:genus	semapv:ManualMappingCuration	2022-01-01	0000-1234-0000-1234	bcdm_bold_uri	1	https://dwc.tdwg.org/terms/	1	0.95	string default for bcdm coming from frictionless data
bcdm:species	bcdm:species	skos:exactMatch	dwc:scientificName	dwc:scientificName	semapv:ManualMappingCuration	2022-01-01	0000-1234-0000-1234	bcdm_bold_uri	1	https://dwc.tdwg.org/terms/	1	0.95	string default for bcdm coming from frictionless data
bcdm:subspecies	bcdm:subspecies	skos:exactMatch	dwc:subpecies	dwc:subpecies	semapv:ManualMappingCuration	2022-01-01	0000-1234-0000-1234	bcdm_bold_uri	1	https://dwc.tdwg.org/terms/	1	0.95	string default for bcdm coming from frictionless data
